residency_type,country_id,de_person_id
PRIMARY,840,1
PRIMARY,840,2
PRIMARY,840,3
PRIMARY,840,4
PRIMARY,840,5
PRIMARY,840,6
PRIMARY,840,7
PRIMARY,840,8
PRIMARY,840,9
PRIMARY,840,10
PRIMARY,840,11
PRIMARY,840,12
PRIMARY,840,13
PRIMARY,840,14
PRIMARY,840,15
PRIMARY,840,16
PRIMARY,840,17
PRIMARY,840,18
PRIMARY,840,19
PRIMARY,840,20
PRIMARY,840,21
PRIMARY,840,22
PRIMARY,840,23
PRIMARY,840,24
PRIMARY,840,25
PRIMARY,840,26
PRIMARY,840,27
PRIMARY,840,28
PRIMARY,840,29
PRIMARY,840,30
PRIMARY,840,31
PRIMARY,840,32
PRIMARY,840,33
PRIMARY,840,34
PRIMARY,840,35
PRIMARY,840,36
PRIMARY,840,37
PRIMARY,840,38
PRIMARY,840,39
PRIMARY,840,40
PRIMARY,840,41
PRIMARY,840,42
PRIMARY,840,43
PRIMARY,840,44
PRIMARY,840,45
PRIMARY,840,46
PRIMARY,840,47
PRIMARY,840,48
PRIMARY,840,49
PRIMARY,840,50
PRIMARY,840,51
PRIMARY,840,52
PRIMARY,840,53
PRIMARY,840,54
PRIMARY,840,55
PRIMARY,840,56
PRIMARY,840,57
PRIMARY,840,58
PRIMARY,840,59
PRIMARY,840,60
PRIMARY,840,61
PRIMARY,840,62
PRIMARY,840,63
PRIMARY,840,64
PRIMARY,840,65
PRIMARY,840,66
PRIMARY,840,67
PRIMARY,840,68
PRIMARY,840,69
PRIMARY,840,70
PRIMARY,840,71
PRIMARY,840,72
PRIMARY,840,73
PRIMARY,840,74
