id,ethnicity_name
1,White-European
2,White-European
3,White-European
4,White-European
5,White-European
6,White-European
7,White-European
8,White-European
9,White-European
10,White-European
11,White-European
12,White-European
13,White-European
14,White-European
15,White-European
16,White-European
17,White-European
18,White-European
19,White-European
20,White-European
21,White-European
22,White-European
23,White-European
24,White-European
25,White-European
26,White-European
27,White-European
28,White-European
29,Native-American
30,Asian-American
31,White-European
32,
33,White-European
34,White-European
35,White-European
36,White-European
37,White-European
38,White-European
39,White-European
40,White-European
41,White-European
42,White-European
43,White-European
44,White-European
45,White-European
46,White-European
47,White-European
48,African-American
49,White-European
50,White-European
51,White-European
52,White-European
53,White-European
54,White-European
55,White-European
56,White-European
57,White-European
58,White-European
59,White-European
60,White-European
61,White-European
62,White-European
63,White-European
64,White-European
65,White-European
66,White-European
67,White-European
68,White-European
69,White-European
70,White-European
71,White-European
72,White-European
73,Lebanese
74,White-European
